guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
0,24,Space,6,Rest,Space_0,occ_brep,,space,3ieRYLDdzA7A223TPufELQ,,,,[],,,3ieRYLDdzA7A223TPufELQ,
1,24,Space,6,Rest,Space_1,occ_brep,,space,3ieRYLDdzA7A223TPufEJF,,,,[],,,3ieRYLDdzA7A223TPufEJF,
2,24,Space,6,Rest,Space_2,occ_brep,,space,3ieRYLDdzA7A223TPufEIb,,,,[],,,3ieRYLDdzA7A223TPufEIb,
3,24,Space,6,Rest,Space_3,occ_brep,,space,2Vw5Ga4Dz31wA6t7ociBwO,,,,[],,,2Vw5Ga4Dz31wA6t7ociBwO,
4,24,Space,6,Rest,Space_4,occ_brep,,space,3ieRYLDdzA7A223TPufELI,,,,[],,,3ieRYLDdzA7A223TPufELI,
5,24,Space,6,Rest,Space_5,occ_brep,,space,2Vw5Ga4Dz31wA6t7ociBOo,,,,[],,,2Vw5Ga4Dz31wA6t7ociBOo,
6,24,Space,6,Rest,Space_6,occ_brep,,space,3ieRYLDdzA7A223TPufEIC,,,,[],,,3ieRYLDdzA7A223TPufEIC,
7,24,Space,6,Rest,Space_7,occ_brep,,space,3ieRYLDdzA7A223TPufEMy,,,,[],,,3ieRYLDdzA7A223TPufEMy,
8,24,Space,6,Rest,Space_8,occ_brep,,space,3ieRYLDdzA7A223TPufEJK,,,,[],,,3ieRYLDdzA7A223TPufEJK,
9,24,Space,6,Rest,Space_9,occ_brep,,space,2Vw5Ga4Dz31wA6t7ociBOC,,,,[],,,2Vw5Ga4Dz31wA6t7ociBOC,
10,1,Wall,1,ARC,Wall_10,occ_brep,,rewritten,0fo82U50nDWhMj5k9OCN$b,,,,"[310, 353, 354]",,,0fo82U50nDWhMj5k9OCN$b,
11,1,Wall,1,ARC,Wall_11,occ_brep,,rewritten,2phb4LYfH6ERu7VkkEK4hM,,,,"[311, 309]",,,2phb4LYfH6ERu7VkkEK4hM,
12,1,Wall,1,ARC,Wall_12,occ_brep,,rewritten,0fo82U50nDWhMj5k9OCN$7,,,,"[353, 354, 352]",,,0fo82U50nDWhMj5k9OCN$7,
13,1,Wall,1,ARC,Wall_13,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbRb,,,,[307],,,3P6tvjgV9AA81fRmsqfbRb,
14,4,Door,1,ARC,Door_14,occ_brep,,element,0VHNU8CzX2rfsiwnl8p4GF,,,,[307],,,0VHNU8CzX2rfsiwnl8p4GF,
15,1,Wall,1,ARC,Wall_15,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbUq,,,,"[307, 352]",,,3P6tvjgV9AA81fRmsqfbUq,
16,1,Wall,1,ARC,Wall_16,occ_brep,,rewritten,08Kju84ofEuAMc6WrE1Ba5,,,,[352],,,08Kju84ofEuAMc6WrE1Ba5,
