guid_int,type_int,type_txt,discipline_int,discipline_txt,identifier_txt,geometry_type,color,instance_type,ifc_guid,space_id,parent_element,composing_elements,room_id,guid_txt,pcd,match_id,ifc_properties
0,24,Space,6,Rest,Space_0,occ_brep,,space,3ieRYLDdzA7A223TPufEJK,,,,[],,,3ieRYLDdzA7A223TPufEJK,
1,24,Space,6,Rest,Space_1,occ_brep,,space,3ieRYLDdzA7A223TPufEIb,,,,[],,,3ieRYLDdzA7A223TPufEIb,
2,24,Space,6,Rest,Space_2,occ_brep,,space,3ieRYLDdzA7A223TPufEJF,,,,[],,,3ieRYLDdzA7A223TPufEJF,
3,24,Space,6,Rest,Space_3,occ_brep,,space,3ieRYLDdzA7A223TPufEIC,,,,[],,,3ieRYLDdzA7A223TPufEIC,
4,24,Space,6,Rest,Space_4,occ_brep,,space,2Vw5Ga4Dz31wA6t7ociBwO,,,,[],,,2Vw5Ga4Dz31wA6t7ociBwO,
5,1,Wall,1,ARC,Wall_5,occ_brep,,rewritten,23aTbt_ibCF9nDuGzWAsXH,,,,[119],,,23aTbt_ibCF9nDuGzWAsXH,
6,1,Wall,1,ARC,Wall_6,occ_brep,,rewritten,0fo82U50nDWhMj5k9OCN$b,,,,"[333, 334, 290]",,,0fo82U50nDWhMj5k9OCN$b,
7,24,Space,6,Rest,Space_7,occ_brep,,space,2Vw5Ga4Dz31wA6t7ociBOC,,,,[],,,2Vw5Ga4Dz31wA6t7ociBOC,
8,24,Space,6,Rest,Space_8,occ_brep,,space,2Vw5Ga4Dz31wA6t7ociBOo,,,,[],,,2Vw5Ga4Dz31wA6t7ociBOo,
9,1,Wall,1,ARC,Wall_9,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbUq,,,,[119],,,3P6tvjgV9AA81fRmsqfbUq,
10,1,Wall,1,ARC,Wall_10,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbRb,,,,[119],,,3P6tvjgV9AA81fRmsqfbRb,
11,1,Wall,1,ARC,Wall_11,occ_brep,,rewritten,2phb4LYfH6ERu7VkkEK4hM,,,,"[289, 291]",,,2phb4LYfH6ERu7VkkEK4hM,
12,1,Wall,1,ARC,Wall_12,occ_brep,,rewritten,0fo82U50nDWhMj5k9OCN$7,,,,"[333, 334]",,,0fo82U50nDWhMj5k9OCN$7,
13,2,Floor,1,ARC,Floor_13,occ_brep,,rewritten,0a$DTcOc10$eWx3Py5JFns,,,,"[290, 298, 340, 321, 307, 306, 331, 305, 304, 336, 335, 313, 329, 327, 316, 119, 292, 300, 4, 299, 2, 3, 296, 339, 333, 289, 320, 338, 337, 288, 328, 318, 310, 311, 308, 297, 332, 324, 314, 322, 323, 0, 330, 295, 1, 294, 303, 319, 302, 293, 312, 8, 301, 317, 309, 341, 315, 291, 334, 326, 325, 7]",,,0a$DTcOc10$eWx3Py5JFns,
14,4,Door,1,ARC,Door_14,occ_brep,,element,0a$DTcOc10$eWx3Py5JFmB,,,,"[289, 8]",,,0a$DTcOc10$eWx3Py5JFmB,
15,4,Door,1,ARC,Door_15,occ_brep,,element,3iaF0$PeLD4B__N9ez93Gx,,,,"[288, 289]",,,3iaF0$PeLD4B__N9ez93Gx,
16,4,Door,1,ARC,Door_16,occ_brep,,element,26kn7MqLL9oOOTivXpg94V,,,,"[292, 291]",,,26kn7MqLL9oOOTivXpg94V,
17,4,Door,1,ARC,Door_17,occ_brep,,element,26kn7MqLL9oOOTivXpg95h,,,,"[292, 293]",,,26kn7MqLL9oOOTivXpg95h,
18,1,Wall,1,ARC,Wall_18,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg95E,,,,"[295, 296]",,,26kn7MqLL9oOOTivXpg95E,
19,4,Door,1,ARC,Door_19,occ_brep,,element,26kn7MqLL9oOOTivXpg95z,,,,"[294, 293]",,,26kn7MqLL9oOOTivXpg95z,
20,4,Door,1,ARC,Door_20,occ_brep,,element,26kn7MqLL9oOOTivXpg957,,,,"[295, 294]",,,26kn7MqLL9oOOTivXpg957,
21,1,Wall,1,ARC,Wall_21,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgEjW,,,,"[338, 297]",,,26kn7MqLL9oOOTivXpgEjW,
22,4,Door,1,ARC,Door_22,occ_brep,,element,26kn7MqLL9oOOTivXpgEvq,,,,"[291, 8]",,,26kn7MqLL9oOOTivXpgEvq,
23,4,Door,1,ARC,Door_23,occ_brep,,element,26kn7MqLL9oOOTivXpgEzN,,,,"[8, 293]",,,26kn7MqLL9oOOTivXpgEzN,
24,4,Door,1,ARC,Door_24,occ_brep,,element,26kn7MqLL9oOOTivXpgEop,,,,"[295, 8]",,,26kn7MqLL9oOOTivXpgEop,
25,4,Door,1,ARC,Door_25,occ_brep,,element,26kn7MqLL9oOOTivXpgEoX,,,,"[294, 8]",,,26kn7MqLL9oOOTivXpgEoX,
26,1,Wall,1,ARC,Wall_26,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgElR,,,,"[296, 297]",,,26kn7MqLL9oOOTivXpgElR,
27,3,Ceiling,1,ARC,Ceiling_27,occ_brep,,rewritten,08Kju84ofEuAMc6WrE1A36,,,,[119],,,08Kju84ofEuAMc6WrE1A36,
28,4,Door,1,ARC,Door_28,occ_brep,,element,26kn7MqLL9oOOTivXpgEZS,,,,"[8, 296]",,,26kn7MqLL9oOOTivXpgEZS,
29,4,Door,1,ARC,Door_29,occ_brep,,element,26kn7MqLL9oOOTivXpgEWk,,,,"[8, 297]",,,26kn7MqLL9oOOTivXpgEWk,
30,1,Wall,1,ARC,Wall_30,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgE3v,,,,"[298, 299]",,,26kn7MqLL9oOOTivXpgE3v,
31,1,Wall,1,ARC,Wall_31,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbI8,,,,"[332, 288]",,,3P6tvjgV9AA81fRmsqfbI8,
32,4,Door,1,ARC,Door_32,occ_brep,,element,26kn7MqLL9oOOTivXpgELy,,,,"[7, 298]",,,26kn7MqLL9oOOTivXpgELy,
33,4,Door,1,ARC,Door_33,occ_brep,,element,26kn7MqLL9oOOTivXpgE1Q,,,,"[7, 299]",,,26kn7MqLL9oOOTivXpgE1Q,
34,1,Wall,1,ARC,Wall_34,occ_brep,,rewritten,3P6tvjgV9AA81fRmsqfbIm,,,,"[289, 288]",,,3P6tvjgV9AA81fRmsqfbIm,
35,1,Wall,1,ARC,Wall_35,occ_brep,,rewritten,0fo82U50nDWhMj5k9OCN$R,,,,"[333, 334]",,,0fo82U50nDWhMj5k9OCN$R,
36,4,Door,1,ARC,Door_36,occ_brep,,element,26kn7MqLL9oOOTivXpgF_R,,,,"[321, 304]",,,26kn7MqLL9oOOTivXpgF_R,
37,1,Wall,1,ARC,Wall_37,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg94S,,,,"[291, 292]",,,26kn7MqLL9oOOTivXpg94S,
38,4,Door,1,ARC,Door_38,occ_brep,,element,26kn7MqLL9oOOTivXpgFzo,,,,"[300, 301]",,,26kn7MqLL9oOOTivXpgFzo,
39,1,Wall,1,ARC,Wall_39,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFzx,,,,"[337, 303]",,,26kn7MqLL9oOOTivXpgFzx,
40,1,Wall,1,ARC,Wall_40,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg95e,,,,"[293, 292]",,,26kn7MqLL9oOOTivXpg95e,
41,4,Door,1,ARC,Door_41,occ_brep,,element,26kn7MqLL9oOOTivXpgFzy,,,,"[302, 301]",,,26kn7MqLL9oOOTivXpgFzy,
42,4,Door,1,ARC,Door_42,occ_brep,,element,26kn7MqLL9oOOTivXpgFz_,,,,"[303, 302]",,,26kn7MqLL9oOOTivXpgFz_,
43,1,Wall,1,ARC,Wall_43,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg95o,,,,"[294, 293]",,,26kn7MqLL9oOOTivXpg95o,
44,1,Wall,1,ARC,Wall_44,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg954,,,,"[295, 294]",,,26kn7MqLL9oOOTivXpg954,
45,4,Door,1,ARC,Door_45,occ_brep,,element,26kn7MqLL9oOOTivXpgFz5,,,,"[301, 321]",,,26kn7MqLL9oOOTivXpgFz5,
46,4,Door,1,ARC,Door_46,occ_brep,,element,26kn7MqLL9oOOTivXpgFzw,,,,"[300, 321]",,,26kn7MqLL9oOOTivXpgFzw,
47,4,Door,1,ARC,Door_47,occ_brep,,element,26kn7MqLL9oOOTivXpgFz4,,,,"[302, 321]",,,26kn7MqLL9oOOTivXpgFz4,
48,4,Door,1,ARC,Door_48,occ_brep,,element,26kn7MqLL9oOOTivXpgFhN,,,,"[305, 300]",,,26kn7MqLL9oOOTivXpgFhN,
49,4,Door,1,ARC,Door_49,occ_brep,,element,26kn7MqLL9oOOTivXpgFz6,,,,"[303, 321]",,,26kn7MqLL9oOOTivXpgFz6,
50,4,Door,1,ARC,Door_50,occ_brep,,element,26kn7MqLL9oOOTivXpgFz2,,,,"[321, 337]",,,26kn7MqLL9oOOTivXpgFz2,
51,4,Door,1,ARC,Door_51,occ_brep,,element,26kn7MqLL9oOOTivXpgFzD,,,,"[321, 336]",,,26kn7MqLL9oOOTivXpgFzD,
52,1,Wall,1,ARC,Wall_52,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFz3,,,,"[336, 317]",,,26kn7MqLL9oOOTivXpgFz3,
53,1,Wall,1,ARC,Wall_53,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCas,,,,"[311, 308]",,,26kn7MqLL9oOOTivXpgCas,
54,5,Window,1,ARC,Window_54,occ_brep,,element,2gH7qgRtn4IhkbEUGvHs8J,,,,[288],,,2gH7qgRtn4IhkbEUGvHs8J,
55,4,Door,1,ARC,Door_55,occ_brep,,element,26kn7MqLL9oOOTivXpgFeH,,,,"[305, 304]",,,26kn7MqLL9oOOTivXpgFeH,
56,5,Window,1,ARC,Window_56,occ_brep,,element,1obyotblH6HAniiX_W4uYM,,,,[289],,,1obyotblH6HAniiX_W4uYM,
57,4,Door,1,ARC,Door_57,occ_brep,,element,26kn7MqLL9oOOTivXpgFfn,,,,"[307, 304]",,,26kn7MqLL9oOOTivXpgFfn,
58,4,Door,1,ARC,Door_58,occ_brep,,element,26kn7MqLL9oOOTivXpgFz7,,,,"[303, 321]",,,26kn7MqLL9oOOTivXpgFz7,
59,1,Wall,1,ARC,Wall_59,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCSM,,,,"[309, 335]",,,26kn7MqLL9oOOTivXpgCSM,
60,1,Wall,1,ARC,Wall_60,occ_brep,,rewritten,0fo82U50nDWhMj5k9OCNaz,,,,"[332, 290, 333]",,,0fo82U50nDWhMj5k9OCNaz,
61,4,Door,1,ARC,Door_61,occ_brep,,element,26kn7MqLL9oOOTivXpgCR9,,,,"[308, 335]",,,26kn7MqLL9oOOTivXpgCR9,
62,4,Door,1,ARC,Door_62,occ_brep,,element,26kn7MqLL9oOOTivXpgCQV,,,,"[311, 335]",,,26kn7MqLL9oOOTivXpgCQV,
63,1,Wall,1,ARC,Wall_63,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgC8t,,,,"[2, 331]",,,26kn7MqLL9oOOTivXpgC8t,
64,5,Window,1,ARC,Window_64,occ_brep,,element,1obyotblH6HAniiX_W4uX2,,,,[289],,,1obyotblH6HAniiX_W4uX2,
65,1,Wall,1,ARC,Wall_65,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgF_A,,,,"[305, 300]",,,26kn7MqLL9oOOTivXpgF_A,
66,4,Door,1,ARC,Door_66,occ_brep,,element,26kn7MqLL9oOOTivXpgCTb,,,,"[309, 310]",,,26kn7MqLL9oOOTivXpgCTb,
67,1,Wall,1,ARC,Wall_67,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgDiH,,,,"[329, 330, 312]",,,26kn7MqLL9oOOTivXpgDiH,
68,1,Wall,1,ARC,Wall_68,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgEc8,,,,"[8, 298, 7, 338]",,,26kn7MqLL9oOOTivXpgEc8,
69,4,Door,1,ARC,Door_69,occ_brep,,element,26kn7MqLL9oOOTivXpgDzJ,,,,"[3, 309]",,,26kn7MqLL9oOOTivXpgDzJ,
70,1,Wall,1,ARC,Wall_70,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgF_d,,,,"[307, 304]",,,26kn7MqLL9oOOTivXpgF_d,
71,1,Wall,1,ARC,Wall_71,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgDJf,,,,"[315, 4, 316]",,,26kn7MqLL9oOOTivXpgDJf,
72,1,Wall,1,ARC,Wall_72,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgDHX,,,,"[318, 4]",,,26kn7MqLL9oOOTivXpgDHX,
73,1,Wall,1,ARC,Wall_73,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgF_M,,,,"[340, 306]",,,26kn7MqLL9oOOTivXpgF_M,
74,1,Wall,1,ARC,Wall_74,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFzp,,,,"[301, 300]",,,26kn7MqLL9oOOTivXpgFzp,
75,1,Wall,1,ARC,Wall_75,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2uw,,,,"[335, 3]",,,26kn7MqLL9oOOTivXpg2uw,
76,1,Wall,1,ARC,Wall_76,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2re,,,,"[312, 313]",,,26kn7MqLL9oOOTivXpg2re,
77,1,Wall,1,ARC,Wall_77,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFz$,,,,"[302, 303]",,,26kn7MqLL9oOOTivXpgFz$,
78,1,Wall,1,ARC,Wall_78,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFzz,,,,"[302, 301]",,,26kn7MqLL9oOOTivXpgFzz,
79,5,Window,1,ARC,Window_79,occ_brep,,element,26kn7MqLL9oOOTivXpgEaM,,,,[292],,,26kn7MqLL9oOOTivXpgEaM,
80,1,Wall,1,ARC,Wall_80,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2j8,,,,"[0, 327]",,,26kn7MqLL9oOOTivXpg2j8,
81,4,Door,1,ARC,Door_81,occ_brep,,element,26kn7MqLL9oOOTivXpg2gC,,,,"[329, 328]",,,26kn7MqLL9oOOTivXpg2gC,
82,5,Window,1,ARC,Window_82,occ_brep,,element,26kn7MqLL9oOOTivXpgEQt,,,,[293],,,26kn7MqLL9oOOTivXpgEQt,
83,4,Door,1,ARC,Door_83,occ_brep,,element,26kn7MqLL9oOOTivXpg2fc,,,,"[313, 328]",,,26kn7MqLL9oOOTivXpg2fc,
84,1,Wall,1,ARC,Wall_84,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFtO,,,,"[305, 304]",,,26kn7MqLL9oOOTivXpgFtO,
85,1,Wall,1,ARC,Wall_85,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2U5,,,,"[316, 315]",,,26kn7MqLL9oOOTivXpg2U5,
86,5,Window,1,ARC,Window_86,occ_brep,,element,26kn7MqLL9oOOTivXpgEar,,,,[291],,,26kn7MqLL9oOOTivXpgEar,
87,1,Wall,1,ARC,Wall_87,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg29_,,,,"[319, 318]",,,26kn7MqLL9oOOTivXpg29_,
88,1,Wall,1,ARC,Wall_88,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2EW,,,,"[319, 320]",,,26kn7MqLL9oOOTivXpg2EW,
89,1,Wall,1,ARC,Wall_89,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgFkA,,,,"[306, 307]",,,26kn7MqLL9oOOTivXpgFkA,
90,1,Wall,1,ARC,Wall_90,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2C1,,,,"[322, 320]",,,26kn7MqLL9oOOTivXpg2C1,
91,4,Door,1,ARC,Door_91,occ_brep,,element,26kn7MqLL9oOOTivXpg2O0,,,,"[313, 314]",,,26kn7MqLL9oOOTivXpg2O0,
92,5,Window,1,ARC,Window_92,occ_brep,,element,26kn7MqLL9oOOTivXpgERe,,,,[295],,,26kn7MqLL9oOOTivXpgERe,
93,1,Wall,1,ARC,Wall_93,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgEI0,,,,"[7, 298, 299]",,,26kn7MqLL9oOOTivXpgEI0,
94,4,Door,1,ARC,Door_94,occ_brep,,element,26kn7MqLL9oOOTivXpg2P4,,,,"[315, 314]",,,26kn7MqLL9oOOTivXpg2P4,
95,5,Window,1,ARC,Window_95,occ_brep,,element,26kn7MqLL9oOOTivXpgEQN,,,,[294],,,26kn7MqLL9oOOTivXpgEQN,
96,1,Wall,1,ARC,Wall_96,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUN3,,,,"[341, 322, 1]",,,2VuhFQabH3JOql_RiqfUN3,
97,1,Wall,1,ARC,Wall_97,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUK1,,,,"[1, 324]",,,2VuhFQabH3JOql_RiqfUK1,
98,1,Wall,1,ARC,Wall_98,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUGV,,,,"[341, 323]",,,2VuhFQabH3JOql_RiqfUGV,
99,1,Wall,1,ARC,Wall_99,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUVl,,,,"[323, 339]",,,2VuhFQabH3JOql_RiqfUVl,
100,1,Wall,1,ARC,Wall_100,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2ef,,,,"[328, 327]",,,26kn7MqLL9oOOTivXpg2ef,
101,1,Wall,1,ARC,Wall_101,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCJg,,,,"[331, 330]",,,26kn7MqLL9oOOTivXpgCJg,
102,1,Wall,1,ARC,Wall_102,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCVG,,,,"[310, 331]",,,26kn7MqLL9oOOTivXpgCVG,
103,1,Wall,1,ARC,Wall_103,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUOW,,,,"[326, 325]",,,2VuhFQabH3JOql_RiqfUOW,
104,4,Door,1,ARC,Door_104,occ_brep,,element,26kn7MqLL9oOOTivXpg2l7,,,,"[327, 313]",,,26kn7MqLL9oOOTivXpg2l7,
105,1,Wall,1,ARC,Wall_105,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCSR,,,,"[309, 310]",,,26kn7MqLL9oOOTivXpgCSR,
106,5,Window,1,ARC,Window_106,occ_brep,,element,26kn7MqLL9oOOTivXpgFy0,,,,[340],,,26kn7MqLL9oOOTivXpgFy0,
107,1,Wall,1,ARC,Wall_107,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgDXu,,,,"[329, 328]",,,26kn7MqLL9oOOTivXpgDXu,
108,1,Wall,1,ARC,Wall_108,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgC1F,,,,"[2, 3, 8]",,,26kn7MqLL9oOOTivXpgC1F,
109,1,Wall,1,ARC,Wall_109,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgDcn,,,,"[0, 314, 313]",,,26kn7MqLL9oOOTivXpgDcn,
110,1,Wall,1,ARC,Wall_110,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCQd,,,,"[335, 308, 311]",,,26kn7MqLL9oOOTivXpgCQd,
111,1,Wall,1,ARC,Wall_111,occ_brep,,rewritten,2VuhFQabH3JOql_RiqfUMx,,,,"[324, 321]",,,2VuhFQabH3JOql_RiqfUMx,
112,4,Door,1,ARC,Door_112,occ_brep,,element,1XD1GHfzD6cunMzxtqLi62,,,,"[329, 312]",,,1XD1GHfzD6cunMzxtqLi62,
113,1,Wall,1,ARC,Wall_113,occ_brep,,rewritten,26kn7MqLL9oOOTivXpgCW4,,,,"[331, 335, 310, 311, 2, 3, 309]",,,26kn7MqLL9oOOTivXpgCW4,
114,5,Window,1,ARC,Window_114,occ_brep,,element,1XD1GHfzD6cunMzxtqLiE$,,,,[318],,,1XD1GHfzD6cunMzxtqLiE$,
115,1,Wall,1,ARC,Wall_115,occ_brep,,rewritten,26kn7MqLL9oOOTivXpg2LS,,,,"[321, 7, 317, 299]",,,26kn7MqLL9oOOTivXpg2LS,
